,Date,User,Tweet
62,2023-04-09 03:22:40+00:00,hariankompas,"PT Kilang Pertamina Internasional Refinery Unit VI Balongan di Kabupaten Indramayu, Jawa Barat, menjamin pasokan bahan bakar minyak saat mudik Lebaran 2023. Selain membentuk tim, Pertamina juga memastikan peralatannya. 

https://t.co/iwOYmQqgEe

#Nusantara #AdadiKompas"
63,2023-04-09 03:13:31+00:00,HumasKawasan,"Kehabisan Bensin di Jalan Tol?
Jangan Khawatir!

Para pemudik kini tidak perlu khawatir jika mendadak habis Bahan Bakar Minyak (BBM) saat tengah dalam perjalanan di tol. Cukup hubungi Call Center Pertamina dan bensin akan menuju lokasi kamu! https://t.co/0ls0fZ5gjq"
64,2023-04-09 03:03:41+00:00,kompasmuda,"PT Kilang Pertamina Internasional Refinery Unit VI Balongan di Kabupaten Indramayu, Jawa Barat, menjamin pasokan bahan bakar minyak saat mudik Lebaran 2023. Selain membentuk tim, Pertamina juga memastikan peralatannya.
https://t.co/joA3tZ4w89

#Nusantara #AdadiKompas"
65,2023-04-09 02:11:21+00:00,binmassekbulus,"Kehabisan Bensin di Jalan Tol?
Jangan Khawatir!

Para pemudik kini tidak perlu khawatir jika mendadak habis Bahan Bakar Minyak (BBM) saat tengah dalam perjalanan di tol. Cukup hubungi Call Center Pertamina dan bensin akan menuju lokasi kamu! Eitss.. tapi tetap perhatikan https://t.co/s3Ffacdhew"
66,2023-04-09 00:59:24+00:00,polsek_adimulyo,Kehabisan Bensin di Jalan Tol? Jangan Khawatir! Para pemudik kini tidak perlu khawatir jika mendadak habis Bahan Bakar Minyak (BBM) saat tengah dalam perjalanan di tol. Cukup hubungi Call Center Pertamina dan bensin akan menuju lokasi kamu! https://t.co/1cvUEBSfBI
67,2023-04-09 00:59:16+00:00,edy_prastio4,Para pemudik kini tidak perlu khawatir jika mendadak habis Bahan Bakar Minyak (BBM) saat tengah dalam perjalanan di tol. Cukup hubungi Call Center Pertamina dan bensin akan menuju lokasi kamu! Eitss.. tapi tetap perhatikan ketersediaan bahan bakarmu sebelum mudik Lebaran 2023 . https://t.co/MfzAR57WKD
68,2023-04-08 22:01:05+00:00,leejchanie,"@caratstalk Dia bukan kompor nder. Dia minyak lampu, bensin pokoknya bahan bakar yang dilempar ke api supaya makin besar 🙏"
69,2023-04-08 21:10:27+00:00,Tribrata_RL,"Kehabisan Bensin di Jalan Tol?
Jangan Khawatir!

Para pemudik kini tidak perlu khawatir jika mendadak habis Bahan Bakar Minyak (BBM) saat tengah dalam perjalanan di tol. Cukup hubungi Call Center Pertamina dan bensin akan menuju lokasi kamu! Eitss.

Sb : Buku Panduan Mudik  2023 https://t.co/Ms0bLFd0dP"
70,2023-04-08 16:23:15+00:00,voidotid,"ertamina memastikan jika pasokan bahan bakar minyak (BBM) tidak terganggu akibat peristiwa kereta anjlok yang terjadi di emplasemen Stasiun Sepanjang, Sidoarjo, Jawa Timur, S... https://t.co/dICQIB7LcY"
71,2023-04-08 14:34:15+00:00,kompascom,"Kereta pengangkut bahan bakar minyak (BBM) anjlok di emplasemen Stasiun Sepanjang, Sidoarjo, Jawa Timur, Sabtu (8/4/2023) pukul 15.30 WIB. https://t.co/BKwWh9g9nU"
72,2023-04-08 14:33:30+00:00,kompasmuda,"Kereta api barang yang membawa rangkaian gerbong tangki bahan bakar minyak anjlok di emplasemen Stasiun Sepanjang, Jawa Timur, Sabtu (8/4/2023) sore. Tidak ada korban jiwa, tetapi sejumlah perjalanan kereta dialihkan.
https://t.co/0l3al4Ih2C

#Nusantara #AdadiKompas"
73,2023-04-08 14:23:14+00:00,KompasKlasika,"Kereta api barang yang membawa rangkaian gerbong tangki bahan bakar minyak anjlok di emplasemen Stasiun Sepanjang, Jawa Timur, Sabtu (8/4/2023) sore. Tidak ada korban jiwa, tetapi sejumlah perjalanan kereta dialihkan. 
https://t.co/6murRxuS73

#Nusantara #AdadiKompas"
74,2023-04-08 14:22:27+00:00,hariankompas,"Kereta api barang yang membawa rangkaian gerbong tangki bahan bakar minyak anjlok di emplasemen Stasiun Sepanjang, Jawa Timur, Sabtu (8/4/2023) sore. Tidak ada korban jiwa, tetapi sejumlah perjalanan kereta dialihkan. 

https://t.co/8rwpgEV6kV

#Nusantara #AdadiKompas"
75,2023-04-08 14:06:26+00:00,ynnaare,@Seputar_Energi_ Mantap siagakan fasilitas penyaluran bahan bakar minyak
76,2023-04-08 11:28:38+00:00,kumparan,"Kereta api pembawa bahan bakar minyak (BBM) Pertamina anjlok dari jalur rel di perlintasan sebidang Sepanjang, Taman, Sidoarjo. #publisherstory #jatimnow https://t.co/mRJB6jjjxS"
77,2023-04-08 11:16:24+00:00,YOON7IDDIES,"@Another_eps @kindymoh bahan
ikan kembung 500gr

bumbu halus
baput 6pcs
bamer 6pcs
kemiri 2pcs (sangrai)
kunyit 1 ruas (bakar)

bumbu lain
lengkoas dan jahe @/1ruas
daun jeruk 4pcs
daun salam 1 lbr
sereh 1 btg
kemangi 1 ikat
tomat 2pcs

panasin minyak, tumis bumbu halus sampe mateng, masukin-"
78,2023-04-08 07:06:43+00:00,PolsekMajenang6,"pada hari Sabtu tanggal 8 April 2023 pukul 11.00 WIB s.d.12.00 WIB, Polsek Majenang telah melaksanakan Pengecekan stok Bahan Bakar Minyak di SPBU di Wilayah Kecamatan Majenang, dalam rangka Ramadhan 1444 H. https://t.co/SBRXgZRWtL"
79,2023-04-08 07:06:38+00:00,PolsekMajenang6,"pada hari Sabtu tanggal 8 April 2023 pukul 11.00 WIB s.d.12.00 WIB, Polsek Majenang telah melaksanakan Pengecekan stok Bahan Bakar Minyak di SPBU di Wilayah Kecamatan Majenang, dalam rangka Ramadhan 1444 H. https://t.co/nio2tDZ2iG"
80,2023-04-08 07:06:34+00:00,PolsekMajenang6,"pada hari Sabtu tanggal 8 April 2023 pukul 11.00 WIB s.d.12.00 WIB, Polsek Majenang telah melaksanakan Pengecekan stok Bahan Bakar Minyak di SPBU di Wilayah Kecamatan Majenang, dalam rangka Ramadhan 1444 H. https://t.co/szpMcFlegy"
81,2023-04-08 07:06:28+00:00,PolsekMajenang6,"pada hari Sabtu tanggal 8 April 2023 pukul 11.00 WIB s.d.12.00 WIB, Polsek Majenang telah melaksanakan Pengecekan stok Bahan Bakar Minyak di SPBU di Wilayah Kecamatan Majenang, dalam rangka Ramadhan 1444 H. https://t.co/8Zx1DwbUh2"
82,2023-04-08 05:19:37+00:00,inilahdotcom,"Ada kabar baik bagi konsumen bahan bakar minyak (BBM) kelas atas dari Pertamina, yakni Pertamax Turbo dan Pertamina Dex, harganya turun. Menghemat kantong saat mudik ke kampung halaman.

Dikutip dari situs Pertamina, Sabtu (8/4/2023),
#PertaminaDex

https://t.co/whty8mcTSZ"
83,2023-04-08 01:04:30+00:00,lebakbansel,"https://t.co/Fcsz8y9cMO, PANDEGLANG - Diduga tidak kuat menanjak di jalur  Tanjakan CIjengkol, Pandeglang, Banten, sebuah truk bermuatan Bahan Bakar Minyak (BBM) terguling. Truk sempat menghantam badan jalan hingga akhirnya terguling. 

https://t.co/ihMfnLXuQ5"
84,2023-04-08 00:35:48+00:00,sobathijrah09,"Belum sepenuhnya tuntas penanganan Depo Terminal Bahan Bakar Minyak (TBBM) Pertamina Plumpang, kini kilang minyak Pertamina Dumai dan Kapal MT Kristin yang mengangkut BBM mengalami kebakaran. Waduh kok bisa gini ya? 
Simak slngkpny di Serba serbi MMC https://t.co/ZJdh3mj527"
85,2023-04-08 00:35:32+00:00,NeniMardiana7,"Belum sepenuhnya tuntas penanganan Depo Terminal Bahan Bakar Minyak (TBBM) Pertamina Plumpang, kini kilang minyak Pertamina Dumai dan Kapal MT Kristin yang mengangkut BBM mengalami kebakaran. Waduh kok bisa gini ya? 
Simak slngkpny di Serba serbi MMC https://t.co/XsOYhDxtcU"
86,2023-04-07 22:05:01+00:00,madebythata,@PantuAde Bahan bakar minyak
